TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,ExperienceTier,TeacherRatingTier,EnrollmentCountPerInstructor,TotalEnrollments,AvgCourseRating,StdCourseRating,UniqueCoursesTaught,ConsistencyScore,ReliabilityScore,PerformanceScore,Cluster,InstructorSegment
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Intermediate,Medium,36,36,2.85,1.3136278072091105,15,34.32,22.24,30.65,3,Growing Instructors
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,Experienced,High,68,68,3.71,0.9293883872544765,9,53.53,44.32,62.26,1,Average Instructors
TC00003,Amber Torres,32,Male,Design,4,1.56,Intermediate,Low,59,59,3.11,1.059548275548319,15,47.02,14.67,21.49,0,At-Risk Instructors
TC00004,Kristi Scott,34,Female,Machine Learning,9,4.39,Experienced,High,47,47,2.55,1.3783203455739623,8,31.08,27.29,34.45,3,Growing Instructors
TC00005,David Williams,34,Male,Finance,2,3.11,Beginner,Medium,47,47,2.79,1.2374948210022538,18,38.13,23.71,26.18,3,Growing Instructors
TC00006,Rebecca Webb,49,Male,Cybersecurity,14,3.36,Experienced,Medium,48,48,3.22,1.3014285658678075,15,34.93,23.47,44.69,1,Average Instructors
TC00007,Angela Beard,28,Female,Machine Learning,6,4.36,Intermediate,High,49,49,2.51,1.3256159523260214,9,33.72,29.4,31.9,3,Growing Instructors
TC00008,Steven Walker,41,Male,Data Science,15,3.54,Experienced,Medium,133,133,3.27,0.5061595648868572,9,74.69,52.88,48.55,1,Average Instructors
TC00009,Alexander Tucker,49,Female,Project Management,2,2.22,Beginner,Low,58,58,3.17,1.432166941250358,15,28.39,12.61,28.22,0,At-Risk Instructors
TC00010,Frances Sanchez,29,Male,Data Science,1,2.18,Beginner,Low,81,81,3.34,0.7046082660897297,17,64.77,28.24,31.73,0,At-Risk Instructors
TC00011,Carol Edwards,37,Female,Artificial Intelligence,8,3.55,Intermediate,Medium,46,46,2.96,0.9806989767975631,9,50.97,36.19,37.0,3,Growing Instructors
TC00012,Christopher Nelson,48,Female,Cybersecurity,2,3.85,Beginner,Medium,26,26,3.43,1.22475573702866,9,38.76,29.85,49.13,1,Average Instructors
TC00013,Brian Carrillo,35,Female,Digital Marketing,6,3.42,Intermediate,Medium,23,23,3.45,1.1163077904430985,14,44.18,30.22,47.45,1,Average Instructors
TC00014,Susan Randolph,49,Male,Project Management,3,2.45,Beginner,Low,57,57,3.1,1.5594269077779035,13,22.03,10.79,28.75,0,At-Risk Instructors
TC00015,John Armstrong,43,Male,Data Science,7,3.07,Intermediate,Medium,61,61,3.27,0.8533190743344198,20,57.33,35.2,40.57,1,Average Instructors
TC00016,David Carlson,33,Male,Data Science,1,2.92,Beginner,Low,108,108,3.29,0.740245549476827,17,62.99,36.78,37.26,0,At-Risk Instructors
TC00017,Brian Perez,36,Male,Digital Marketing,4,2.33,Intermediate,Low,51,51,3.53,1.129907891439499,17,43.5,20.27,39.3,0,At-Risk Instructors
TC00018,Kari Pierce,47,Female,Project Management,11,4.28,Experienced,High,93,93,3.25,1.511074275199813,8,24.45,20.93,52.61,1,Average Instructors
